"AUTOR H-ID"	"Nombre del autor"
11	"Emilia Pardo Bazán"
13	"Miguel de Unamuno"
15	"Leopoldo Alas"
16	"Gabriel Miró"
17	"Benito Pérez Galdós"
18	"Vicente Blasco Ibáñez"
19	"José María de Pereda"
20	"Ramón del Valle-Inclán"
