Term,RawFrequency
pluma,78
momentos,78
leía,78
inmóvil,78
extraño,78
enferma,78
dejando,78
única,77
rico,77
plaza,77
mitad,77
llorar,77
ido,77
humano,77
hojas,77
entraba,77
duros,77
detuvo,77
cuyas,77
antigua,77
tienda,76
sentimiento,76
reyes,76
quin,76
pasaban,76
partes,76
pañuelo,76
miradas,76
invierno,76
héroe,76
espejo,76
comenzó,76
veo,75
traía,75
recuerdos,75
pared,75
oyó,75
hondo,75
dije,75
daban,75
creer,75
contento,75
andaba,75
prisa,74
pálido,74
humanidad,74
empezaba,74
diablo,74
debajo,74
calles,74
caja,74
asombro,74
tierras,73
sociedad,73
señorito,73
rubia,73
rosita,73
reloj,73
quizá,73
piedras,73
oficio,73
muerta,73
milagro,73
huerto,73
corte,73
cocina,73
cartas,73
busca,73
blancos,73
ánimo,73
augusta,73
verse,72
verano,72
valle,72
sale,72
ramón,72
pequeño,72
pareja,72
número,72
negros,72
misterioso,72
luis,72
dormir,72
consuelo,72
cabellos,72
sonrió,71
sombrero,71
serio,71
sacerdote,71
mozos,71
moza,71
enfermedad,71
duquesito,71
dulces,71
corría,71
correr,71
venido,70
templo,70
recién,70
quieres,70
pueblos,70
pensamientos,70
paseo,70
impresión,70
filosofía,70
escuela,70
entusiasmo,70
duque,70
dejado,70
costa,70
coro,70
carta,70
alzó,70
vejez,69
rojo,69
reales,69
pregunta,69
pagar,69
nieve,69
movimiento,69
meses,69
hermoso,69
guerra,69
garganta,69
eulalia,69
espalda,69
cuánto,69
cualquiera,69
cien,69
carácter,69
autor,69
ama,69
alcalde,69
vueltas,68
viejas,68
versos,68
santos,68
salón,68
oye,68
obras,68
necesidad,68
género,68
escena,68
encontrar,68
echó,68
débil,68
criados,68
capellán,68
cantar,68
calma,68
barba,68
aliento,68
tardes,67
señoras,67
pedía,67
molino,67
izquierda,67
interior,67
horror,67
horizonte,67
fernando,67
enfrente,67
derecha,67
cruces,67
conversación,67
apareció,67
antonia,67
abuelo,67
vuelo,66
ventanas,66
ropas,66
paredes,66
objeto,66
multitud,66
muertos,66
luto,66
locura,66
hierro,66
enamorado,66
echar,66
comprender,66
capaz,66
boda,66
altas,66
abierta,66
tocar,65
pájaros,65
ojo,65
novio,65
loca,65
lentamente,65
instinto,65
fuerzas,65
fría,65
estilo,65
cristal,65
creyó,65
cementerio,65
canto,65
balcón,65
ambiente,65
abuela,65
poesía,64
piedad,64
pecado,64
patria,64
nacido,64
letras,64
inocente,64
ideal,64
fantasía,64
dormido,64
diga,64
dicha,64
cera,64
carrera,64
aspecto,64
angustia,64
adiós,64
sudor,63
santiago,63
pupilas,63
noticia,63
necesario,63
luces,63
llega,63
llamaban,63
horrible,63
genio,63
basta,63
actitud,63
viuda,62
tonto,62
quedado,62
profundo,62
país,62
minutos,62
marcha,62
malicia,62
juego,62
dormía,62
deber,62
conde,62
asunto,62
tesoro,61
siglo,61
rueda,61
ramonete,61
punta,61
pedir,61
nubes,61
necesitaba,61
nariz,61
mes,61
menudo,61
menor,61
eterna,61
egoísmo,61
dolores,61
dejaban,61
damas,61
culpa,61
crimen,61
corriente,61
comida,61
banco,61
acercó,61
sacó,60
retrato,60
rato,60
periódico,60
orilla,60
olvidado,60
inútil,60
fuente,60
figuras,60
estudiante,60
envidia,60
enorme,60
duquesa,60
darle,60
cristo,60
abiertos,60
vive,59
valencia,59
suma,59
singular,59
salieron,59
prueba,59
provincia,59
piernas,59
párroco,59
mamerto,59
infeliz,59
importa,59
huir,59
habló,59
fonda,59
entender,59
difunto,59
demonio,59
cutres,59
cuesta,59
cuál,59
cuantos,59
beatriz,59
alguien,59
subir,58
solemne,58
pidió,58
oscuro,58
montes,58
madera,58
huesos,58
elisa,58
carro,58
camisa,58
sublime,57
subía,57
sabían,57
quisiera,57
princesa,57
misteriosa,57
mamá,57
lucha,57
hilo,57
hablaban,57
espectáculo,57
duro,57
confianza,57
casualidad,57
caminos,57
buscando,57
ajo,57
vienen,56
ves,56
verla,56
trato,56
suspiró,56
silla,56
salido,56
sacar,56
rumor,56
rubio,56
reía,56
rayo,56
quedaban,56
precisamente,56
podido,56
pasaron,56
lujo,56
llenos,56
llaman,56
jóvenes,56
galán,56
frase,56
fiebre,56
favor,56
extraña,56
estación,56
destino,56
criado,56
corral,56
conocido,56
compañero,56
colores,56
antiguos,56
amiga,56
víctima,55
toma,55
semana,55
repitió,55
olvido,55
miseria,55
letra,55
labor,55
hechos,55
hacienda,55
fresco,55
fresca,55
escribir,55
encanto,55
cuándo,55
cadáver,55
beber,55
bah,55
vieron,54
tranquilo,54
sombras,54
señorita,54
roto,54
rosarito,54
repetía,54
recibir,54
pico,54
llorando,54
labrador,54
jesús,54
ilusión,54
frescura,54
faz,54
decirle,54
cuyos,54
cuerda,54
corrió,54
común,54
compasión,54
ciego,54
ardiente,54
vientre,53
trataba,53
tocaba,53
temblaba,53
situación,53
sensación,53
salían,53
